Model,Price,Year,Transmission,Fuel type,City
Opel Zafira,89999,2007,Автомат,Бензин,Пенджикент
Opel Zafira,84000,2008,Механика,Бензин + газ,Худжанд
Opel Vectra B,33000,1997,Механика,Бензин + газ,Душанбе
Opel Astra H,85000,2006,Автомат,Бензин + газ,Пенджикент
Opel Astra G,48000,1999,Механика,Бензин + газ,Вахдат
Opel Combo,75000,2006,Механика,Дизель,Душанбе
Opel Astra F,24000,1993,Механика,Бензин,Исфара
Opel Astra F,27000,1992,Механика,Бензин + газ,Зафарабад
Opel Vectra A,17500,1990,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,48000,1999,Механика,Бензин + газ,Зафарабад
Opel Astra F,48000,1997,Механика,Бензин + газ,Джайхун (Кумсангир)
Opel Vectra B,43000,1998,Механика,Бензин + газ,Исфара
Opel Astra H,80000,2007,Механика,Бензин,Худжанд
Opel Astra F,27000,1997,Механика,Бензин + газ,Фархор
Opel Vectra B,28000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,75000,2001,Автомат,Бензин,Кабодиён
Opel Vectra B,48000,1999,Механика,Бензин + газ,Худжанд
Opel Vectra B,22000,1996,Механика,Бензин + газ,Душанбе
Opel Astra H,65000,2008,Механика,Бензин,Душанбе
Opel Astra G,75000,2006,Механика,Бензин + газ,Джаббор Расулов
Opel Astra G,60000,1999,Механика,Бензин,Душанбе
Opel Astra G,79000,2008,Механика,Бензин,Худжанд
Opel Zafira,40000,2002,Механика,Бензин,Куляб
Opel Astra G,46000,1998,Механика,Бензин + газ,Канибадам
Opel Astra F,25000,1997,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Zafira,55000,2000,Механика,Бензин + газ,Куляб
Opel Astra G,48000,1999,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Astra G,49000,1999,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Zafira,66000,2005,Автомат,Бензин + газ,Душанбе
Opel Vectra A,13000,1991,Механика,Бензин + газ,Фархор
Opel Astra F,24000,1995,Механика,Бензин + газ,Худжанд
Opel Astra G,50000,1999,Механика,Бензин + газ,Худжанд
Opel Zafira,88500,2006,Механика,Бензин,Худжанд
Opel Zafira,62500,2000,Механика,Бензин + газ,Худжанд
Opel Zafira,66000,2003,Механика,Бензин + газ,Пенджикент
Opel Vectra A,45000,1995,Механика,Бензин + газ,Исфара
Opel Astra F,30000,1994,Механика,Бензин + газ,Восе
Opel Vectra B,11500,1990,Механика,Газ,Вахш
Opel Astra F,36500,1996,Механика,Бензин,Дангара
Opel Vectra B,37000,1998,Механика,Бензин,Душанбе
Opel Vectra B,48000,1997,Механика,Бензин,Пенджикент
Opel Vectra A,17500,1993,Механика,Бензин + газ,Рудаки
Opel Astra F,27000,1995,Механика,Газ,Зафарабад
Opel Astra J,127000,2011,Автомат,Бензин,Худжанд
Opel Astra G,73000,2003,Механика,Бензин + газ,Фархор
Opel Astra G,62000,2003,Автомат,Бензин,Душанбе
Opel Astra F,33000,1993,Механика,Бензин + газ,Куляб
Opel Vectra B,35000,1997,Механика,Бензин,Душанбе
Opel Zafira,68000,2007,Механика,Дизель,Худжанд
Opel Astra G,50000,1999,Механика,Бензин,Душанбе
Opel Vectra A,22000,1994,Механика,Бензин + газ,Куляб
Opel Astra G,64000,2000,Механика,Бензин + газ,Худжанд
Opel Vectra A,37000,1995,Механика,Бензин + газ,Яван
Opel Astra F,31000,1992,Автомат,Бензин + газ,Худжанд
Opel Astra H,97000,2008,Автомат,Бензин,Душанбе
Opel Astra F,47000,1997,Механика,Бензин,Душанбе
Opel Astra G,25000,2006,Механика,Бензин + газ,Душанбе
Opel Vectra B,31999,1996,Механика,Бензин,Худжанд
Opel Vectra A,11000,1990,Механика,Бензин + газ,Восе
Opel Astra G,65500,2003,Механика,Бензин,Душанбе
Opel Astra F,45000,1999,Механика,Бензин,Душанбе
Opel Astra H,68000,2005,Механика,Бензин + газ,Душанбе
Opel Vectra A,30000,1992,Механика,Бензин + газ,Шахристон
Opel Astra F,38000,1994,Механика,Бензин + газ,Душанбе
Opel Vectra A,27000,1994,Механика,Бензин + газ,Гиссар
Opel Astra G,42500,1998,Механика,Бензин + газ,Куляб
Opel Astra F,57000,1997,Автомат,Бензин,Душанбе
Opel Astra H,74000,2008,Механика,Бензин,Вахдат
Opel Astra F,28000,1993,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,55000,1999,Механика,Бензин + газ,Турсунзаде
Opel Astra F,32000,1997,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra F,19500,1992,Механика,Бензин + газ,Худжанд
Opel Vectra A,23000,1994,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,38000,1997,Механика,Бензин + газ,Куляб
Opel Zafira,75000,2007,Механика,Дизель,Худжанд
Opel Astra H,87000,2008,Механика,Бензин,Душанбе
Opel Astra K,22000,1996,Механика,Бензин + газ,Душанбе
Opel Zafira,71000,2001,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Vectra B,35000,1999,Механика,Бензин,Пяндж
Opel Astra G,55000,2007,Механика,Бензин + газ,Худжанд
Opel Astra F,29999,1994,Механика,Бензин + газ,Душанбе
Opel Zafira,77000,2008,Механика,Дизель,Душанбе
Opel Astra H,75000,2009,Автомат,Бензин,Душанбе
Opel Vectra A,12000,1992,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Astra H,63000,2007,Механика,Бензин + газ,Душанбе
Opel Astra F,26999,1993,Механика,Бензин + газ,Джаббор Расулов
Opel Zafira,89000,2003,Механика,Бензин,Душанбе
Opel Vectra B,50000,2000,Механика,Бензин,Вахдат
Opel Astra G,52000,1999,Механика,Бензин + газ,Душанбе
Opel Astra G,52000,1999,Механика,Бензин + газ,Душанбе
Opel Vectra B,73000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,33000,1995,Механика,Бензин + газ,Пенджикент
Opel Vectra B,47000,2001,Автомат,Бензин + газ,Вахдат
Opel Zafira,61000,2007,Механика,Бензин,Худжанд
Opel Astra G,50000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,46000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,63000,2006,Механика,Бензин + газ,Душанбе
Opel Astra G,67000,2000,Механика,Бензин + газ,Истаравшан
Opel Astra F,37000,1995,Механика,Бензин + газ,Джаббор Расулов
Opel Astra F,35000,1996,Механика,Бензин + газ,Вахдат
Opel Combo,70000,2007,Механика,Бензин,Душанбе
Opel Astra F,26000,1997,Механика,Бензин + газ,Хуросон
Opel Astra G,79999,2003,Механика,Бензин,Душанбе
Opel Astra F,37000,1992,Механика,Бензин,Худжанд
Opel Zafira,85000,2006,Механика,Бензин,Худжанд
Opel Astra F,26000,1993,Механика,Бензин + газ,Душанбе
Opel Astra H,98000,2009,Механика,Бензин,Душанбе
Opel Astra G,55000,1998,Механика,Бензин + газ,Худжанд
Opel Vectra A,28000,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,25000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,65990,2000,Автомат,Бензин,Душанбе
Opel Astra G,60000,2000,Механика,Бензин,Худжанд
Opel Astra F,23000,1998,Механика,Бензин + газ,Куляб
Opel Vectra A,16000,1990,Механика,Бензин,Кушониён (Бохтар)
Opel Astra G,79999,2003,Механика,Бензин,Душанбе
Opel Astra F,22000,1994,Механика,Бензин + газ,Матча
Opel Astra F,34500,1996,Механика,Бензин + газ,Гиссар
Opel Vectra B,53000,2001,Автомат,Бензин + газ,Вахдат
Opel Astra F,48000,1998,Механика,Бензин,Душанбе
Opel Vectra A,20000,1990,Механика,Бензин + газ,Хамадани
Opel Zafira,73000,2006,Механика,Бензин + газ,Душанбе
Opel Astra F,30000,1994,Механика,Бензин + газ,Яван
Opel Zafira,77000,2009,Механика,Бензин + газ,Душанбе
Opel Astra G,39999,1998,Механика,Бензин + газ,Восе
Opel Astra F,57000,1999,Механика,Бензин,Душанбе
Opel Astra F,25000,1993,Механика,Бензин + газ,Душанбе
Opel Astra G,75000,2000,Механика,Бензин + газ,Душанбе
Opel Astra G,95000,2003,Механика,Бензин + газ,Душанбе
Opel Astra F,39000,1995,Механика,Бензин + газ,Истаравшан
Opel Astra G,47000,2000,Механика,Бензин + газ,Гиссар
Opel Astra G,60000,1998,Механика,Бензин + газ,Фархор
Opel Astra F,28500,1995,Механика,Бензин + газ,Душанбе
Opel Zafira,61000,2001,Механика,Бензин + газ,Гиссар
Opel Astra F,25000,1995,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra F,31000,1997,Механика,Бензин + газ,Душанбе
Opel Zafira,60000,1999,Механика,Бензин + газ,Ашт
Opel Astra G,59000,1998,Механика,Бензин,Рашт
Opel Vectra C,37000,2003,Механика,Бензин + газ,Вахдат
Opel Vectra A,36000,1995,Механика,Бензин + газ,Шахристон
Opel Astra F,27000,1995,Механика,Бензин + газ,Вахш
Opel Astra G,70000,2004,Механика,Бензин,Душанбе
Opel Astra H,70000,2008,Механика,Дизель,Душанбе
Opel Vectra B,45000,1999,Механика,Бензин + газ,Худжанд
Opel Astra F,41000,1997,Механика,Газ,Душанбе
Opel Astra F,33000,1997,Механика,Бензин + газ,Фархор
Opel Vectra B,55000,2002,Механика,Бензин,Душанбе
Opel Vectra B,54000,2001,Механика,Бензин + газ,Душанбе
Opel Astra G,46000,1999,Механика,Бензин + газ,Худжанд
Opel Astra F,36000,1998,Механика,Бензин + газ,Кушониён (Бохтар)
Opel Astra F,30000,1998,Механика,Бензин + газ,Вахш
Opel Vectra A,16000,1994,Механика,Бензин + газ,Душанбе
Opel Vectra C,48000,2006,Механика,Бензин + газ,Гиссар
Opel Zafira,90000,2006,Механика,Бензин + газ,Худжанд
Opel Vectra B,33000,1998,Механика,Бензин + газ,Душанбе
Opel Astra G,60000,1999,Механика,Бензин,Душанбе
Opel Astra G,48000,1998,Механика,Бензин + газ,Душанбе
Opel Vectra B,35000,1996,Механика,Бензин + газ,Худжанд
Opel Vectra B,52000,2000,Механика,Бензин,Душанбе
Opel Astra G,65000,1999,Механика,Бензин,Душанбе
Opel Astra F,38000,1998,Механика,Бензин + газ,Шахринав
Opel Astra F,29500,1996,Механика,Бензин + газ,Душанбе
Opel Astra H,64000,2006,Механика,Бензин,Душанбе
Opel Astra G,55000,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,28500,1992,Механика,Бензин + газ,Душанбе
Opel Vectra B,30000,1996,Механика,Бензин + газ,Душанбе
Opel Astra H,57000,2008,Автомат,Дизель,Варзоб
Opel Astra G,59000,2000,Автомат,Бензин,Душанбе
Opel Astra H,89000,2006,Механика,Бензин,Куляб
Opel Astra F,36000,1995,Механика,Бензин + газ,Душанбе
Opel Zafira,70000,2006,Механика,Бензин,Душанбе
Opel Astra F,37500,1995,Механика,Бензин,Худжанд
Opel Astra G,85000,2007,Механика,Бензин + газ,Душанбе
Opel Astra F,34000,1995,Механика,Бензин + газ,Канибадам
Opel Astra F,21000,1992,Механика,Бензин + газ,Куляб
Opel Astra H,67000,2008,Механика,Бензин,Душанбе
Opel Vectra B,38000,1998,Механика,Бензин + газ,Худжанд
Opel Astra G,55000,2000,Механика,Бензин,Вахдат
Opel Astra G,56000,1999,Автомат,Бензин + газ,Деваштич (Ганчи)
Opel Zafira,55000,1999,Механика,Бензин + газ,Худжанд
Opel Astra H,67000,2007,Механика,Бензин,Душанбе
Opel Astra F,22000,1994,Механика,Бензин + газ,Яван
Opel Astra G,11000,1993,Механика,Бензин + газ,Куляб
Opel Astra F,38000,1997,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra F,33000,1995,Механика,Бензин + газ,Куляб
Opel Astra F,38000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,63000,1999,Автомат,Бензин,Пенджикент
Opel Astra F,45000,1996,Механика,Бензин + газ,Истаравшан
Opel Astra F,37000,1997,Механика,Бензин + газ,Душанбе
Opel Vectra A,17000,1990,Механика,Бензин + газ,Яван
Opel Astra F,35000,1997,Автомат,Бензин + газ,Рудаки
Opel Zafira,63000,2001,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,29000,1997,Механика,Бензин + газ,Дангара
Opel Astra G,52000,1999,Механика,Бензин + газ,Душанбе
Opel Vectra B,65000,2001,Механика,Бензин + газ,Душанбе
Opel Astra G,59000,1998,Автомат,Бензин + газ,Душанбе
Opel Vectra B,37000,1997,Механика,Бензин + газ,Худжанд
Opel Astra F,35000,1997,Механика,Бензин + газ,Истаравшан
Opel Vectra B,29000,1995,Механика,Бензин + газ,Вахдат
Opel Astra F,35000,1992,Механика,Бензин + газ,Гулистон (Кайраккум)
Opel Astra G,62000,2001,Механика,Бензин + газ,Худжанд
Opel Astra G,55000,2000,Механика,Бензин + газ,Худжанд
Opel Astra G,58000,2008,Механика,Бензин,Кабодиён
Opel Vectra A,25000,1994,Механика,Бензин + газ,Душанбе
Opel Astra J,100000,2015,Механика,Дизель,Худжанд
Opel Astra G,76000,2002,Автомат,Бензин,Душанбе
Opel Astra F,40000,1995,Механика,Бензин + газ,Файзабад
Opel Vectra B,46000,1998,Механика,Бензин + газ,Худжанд
Opel Vectra A,27500,1995,Механика,Бензин + газ,Душанбе
Opel Zafira,65000,2006,Механика,Дизель,Худжанд
Opel Astra H,72000,2008,Механика,Бензин + газ,Худжанд
Opel Astra G,55000,1998,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,37999,1995,Механика,Бензин,Вахш
Opel Astra F,21500,1993,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
